Implementation smell,Namespace,Class,File,Method,Description
Long Statement,IdentityServer,ExternalController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Account\ExternalController.cs,Callback,The length of the statement  "            await _events.RaiseAsync(new UserLoginSuccessEvent(provider' providerUserId' user.SubjectId' user.Username' true' context?.ClientId));" is 134.
Long Statement,IdentityServer,ConsentController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Consent\ConsentController.cs,ProcessConsent,The length of the statement  "                    await _events.RaiseAsync(new ConsentGrantedEvent(User.GetSubjectId()' request.ClientId' request.ScopesRequested' grantedConsent.ScopesConsented' grantedConsent.RememberConsent));" is 178.
Long Statement,IdentityServer,ConsentController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Consent\ConsentController.cs,CreateConsentViewModel,The length of the statement  "            vm.IdentityScopes = resources.IdentityResources.Select(x => CreateScopeViewModel(x' vm.ScopesConsented.Contains(x.Name) || model == null)).ToArray();" is 149.
Long Statement,IdentityServer,ConsentController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Consent\ConsentController.cs,CreateConsentViewModel,The length of the statement  "            vm.ResourceScopes = resources.ApiResources.SelectMany(x => x.Scopes).Select(x => CreateScopeViewModel(x' vm.ScopesConsented.Contains(x.Name) || model == null)).ToArray();" is 170.
Long Statement,IdentityServer,ConsentController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Consent\ConsentController.cs,CreateConsentViewModel,The length of the statement  "                    GetOfflineAccessScope(vm.ScopesConsented.Contains(IdentityServer4.IdentityServerConstants.StandardScopes.OfflineAccess) || model == null)" is 137.
Long Statement,IdentityServer,SecurityHeadersAttribute,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\SecurityHeadersAttribute.cs,OnResultExecuting,The length of the statement  "                var csp = "default-src 'self'; object-src 'none'; frame-ancestors 'none'; sandbox allow-forms allow-same-origin allow-scripts; base-uri 'self';";" is 145.
Long Statement,IdentityServer.Device,DeviceController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Device\DeviceController.cs,ProcessConsent,The length of the statement  "                    await _events.RaiseAsync(new ConsentGrantedEvent(User.GetSubjectId()' request.ClientId' request.ScopesRequested' grantedConsent.ScopesConsented' grantedConsent.RememberConsent));" is 178.
Long Statement,IdentityServer.Device,DeviceController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Device\DeviceController.cs,CreateConsentViewModel,The length of the statement  "            vm.IdentityScopes = resources.IdentityResources.Select(x => CreateScopeViewModel(x' vm.ScopesConsented.Contains(x.Name) || model == null)).ToArray();" is 149.
Long Statement,IdentityServer.Device,DeviceController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Device\DeviceController.cs,CreateConsentViewModel,The length of the statement  "            vm.ResourceScopes = resources.ApiResources.SelectMany(x => x.Scopes).Select(x => CreateScopeViewModel(x' vm.ScopesConsented.Contains(x.Name) || model == null)).ToArray();" is 170.
Long Statement,IdentityServer.Device,DeviceController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Device\DeviceController.cs,CreateConsentViewModel,The length of the statement  "                    GetOfflineAccessScope(vm.ScopesConsented.Contains(IdentityServer4.IdentityServerConstants.StandardScopes.OfflineAccess) || model == null)" is 137.
Magic Number,IdentityServer.Areas.Identity.Pages.Account.Manage,EnableAuthenticatorModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs,OnPostAsync,The following statement contains a magic number: var recoveryCodes = await _userManager.GenerateNewTwoFactorRecoveryCodesAsync(user' 10);
Magic Number,IdentityServer.Areas.Identity.Pages.Account.Manage,EnableAuthenticatorModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs,FormatKey,The following statement contains a magic number: result.Append(unformattedKey.Substring(currentPosition' 4)).Append(" ");
Magic Number,IdentityServer.Areas.Identity.Pages.Account.Manage,EnableAuthenticatorModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs,FormatKey,The following statement contains a magic number: currentPosition += 4;
Magic Number,IdentityServer.Areas.Identity.Pages.Account.Manage,EnableAuthenticatorModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs,FormatKey,The following statement contains a magic number: currentPosition + 4 < unformattedKey.Length
Magic Number,IdentityServer.Areas.Identity.Pages.Account.Manage,GenerateRecoveryCodesModel,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Areas\Identity\Pages\Account\Manage\GenerateRecoveryCodes.cshtml.cs,OnPostAsync,The following statement contains a magic number: var recoveryCodes = await _userManager.GenerateNewTwoFactorRecoveryCodesAsync(user' 10);
Magic Number,IdentityServer,Extensions,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Quickstart\Extensions.cs,LoadingPage,The following statement contains a magic number: controller.HttpContext.Response.StatusCode = 200;
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetRoles"'           columns: table => new           {             Id = table.Column<string>(nullable: false)'             Name = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedName = table.Column<string>(maxLength: 256' nullable: true)'             ConcurrencyStamp = table.Column<string>(nullable: true)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetRoles"' x => x.Id);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetRoles"'           columns: table => new           {             Id = table.Column<string>(nullable: false)'             Name = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedName = table.Column<string>(maxLength: 256' nullable: true)'             ConcurrencyStamp = table.Column<string>(nullable: true)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetRoles"' x => x.Id);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUsers"'           columns: table => new           {             Id = table.Column<string>(nullable: false)'             UserName = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedUserName = table.Column<string>(maxLength: 256' nullable: true)'             Email = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedEmail = table.Column<string>(maxLength: 256' nullable: true)'             EmailConfirmed = table.Column<bool>(nullable: false)'             PasswordHash = table.Column<string>(nullable: true)'             SecurityStamp = table.Column<string>(nullable: true)'             ConcurrencyStamp = table.Column<string>(nullable: true)'             PhoneNumber = table.Column<string>(nullable: true)'             PhoneNumberConfirmed = table.Column<bool>(nullable: false)'             TwoFactorEnabled = table.Column<bool>(nullable: false)'             LockoutEnd = table.Column<DateTimeOffset>(nullable: true)'             LockoutEnabled = table.Column<bool>(nullable: false)'             AccessFailedCount = table.Column<int>(nullable: false)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUsers"' x => x.Id);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUsers"'           columns: table => new           {             Id = table.Column<string>(nullable: false)'             UserName = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedUserName = table.Column<string>(maxLength: 256' nullable: true)'             Email = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedEmail = table.Column<string>(maxLength: 256' nullable: true)'             EmailConfirmed = table.Column<bool>(nullable: false)'             PasswordHash = table.Column<string>(nullable: true)'             SecurityStamp = table.Column<string>(nullable: true)'             ConcurrencyStamp = table.Column<string>(nullable: true)'             PhoneNumber = table.Column<string>(nullable: true)'             PhoneNumberConfirmed = table.Column<bool>(nullable: false)'             TwoFactorEnabled = table.Column<bool>(nullable: false)'             LockoutEnd = table.Column<DateTimeOffset>(nullable: true)'             LockoutEnabled = table.Column<bool>(nullable: false)'             AccessFailedCount = table.Column<int>(nullable: false)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUsers"' x => x.Id);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUsers"'           columns: table => new           {             Id = table.Column<string>(nullable: false)'             UserName = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedUserName = table.Column<string>(maxLength: 256' nullable: true)'             Email = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedEmail = table.Column<string>(maxLength: 256' nullable: true)'             EmailConfirmed = table.Column<bool>(nullable: false)'             PasswordHash = table.Column<string>(nullable: true)'             SecurityStamp = table.Column<string>(nullable: true)'             ConcurrencyStamp = table.Column<string>(nullable: true)'             PhoneNumber = table.Column<string>(nullable: true)'             PhoneNumberConfirmed = table.Column<bool>(nullable: false)'             TwoFactorEnabled = table.Column<bool>(nullable: false)'             LockoutEnd = table.Column<DateTimeOffset>(nullable: true)'             LockoutEnabled = table.Column<bool>(nullable: false)'             AccessFailedCount = table.Column<int>(nullable: false)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUsers"' x => x.Id);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUsers"'           columns: table => new           {             Id = table.Column<string>(nullable: false)'             UserName = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedUserName = table.Column<string>(maxLength: 256' nullable: true)'             Email = table.Column<string>(maxLength: 256' nullable: true)'             NormalizedEmail = table.Column<string>(maxLength: 256' nullable: true)'             EmailConfirmed = table.Column<bool>(nullable: false)'             PasswordHash = table.Column<string>(nullable: true)'             SecurityStamp = table.Column<string>(nullable: true)'             ConcurrencyStamp = table.Column<string>(nullable: true)'             PhoneNumber = table.Column<string>(nullable: true)'             PhoneNumberConfirmed = table.Column<bool>(nullable: false)'             TwoFactorEnabled = table.Column<bool>(nullable: false)'             LockoutEnd = table.Column<DateTimeOffset>(nullable: true)'             LockoutEnabled = table.Column<bool>(nullable: false)'             AccessFailedCount = table.Column<int>(nullable: false)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUsers"' x => x.Id);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUserLogins"'           columns: table => new           {             LoginProvider = table.Column<string>(maxLength: 128' nullable: false)'             ProviderKey = table.Column<string>(maxLength: 128' nullable: false)'             ProviderDisplayName = table.Column<string>(nullable: true)'             UserId = table.Column<string>(nullable: false)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUserLogins"' x => new { x.LoginProvider' x.ProviderKey });             table.ForeignKey(                       name: "FK_AspNetUserLogins_AspNetUsers_UserId"'                       column: x => x.UserId'                       principalTable: "AspNetUsers"'                       principalColumn: "Id"'                       onDelete: ReferentialAction.Cascade);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUserLogins"'           columns: table => new           {             LoginProvider = table.Column<string>(maxLength: 128' nullable: false)'             ProviderKey = table.Column<string>(maxLength: 128' nullable: false)'             ProviderDisplayName = table.Column<string>(nullable: true)'             UserId = table.Column<string>(nullable: false)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUserLogins"' x => new { x.LoginProvider' x.ProviderKey });             table.ForeignKey(                       name: "FK_AspNetUserLogins_AspNetUsers_UserId"'                       column: x => x.UserId'                       principalTable: "AspNetUsers"'                       principalColumn: "Id"'                       onDelete: ReferentialAction.Cascade);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUserTokens"'           columns: table => new           {             UserId = table.Column<string>(nullable: false)'             LoginProvider = table.Column<string>(maxLength: 128' nullable: false)'             Name = table.Column<string>(maxLength: 128' nullable: false)'             Value = table.Column<string>(nullable: true)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUserTokens"' x => new { x.UserId' x.LoginProvider' x.Name });             table.ForeignKey(                       name: "FK_AspNetUserTokens_AspNetUsers_UserId"'                       column: x => x.UserId'                       principalTable: "AspNetUsers"'                       principalColumn: "Id"'                       onDelete: ReferentialAction.Cascade);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,Up,The following statement contains a magic number: migrationBuilder.CreateTable(           name: "AspNetUserTokens"'           columns: table => new           {             UserId = table.Column<string>(nullable: false)'             LoginProvider = table.Column<string>(maxLength: 128' nullable: false)'             Name = table.Column<string>(maxLength: 128' nullable: false)'             Value = table.Column<string>(nullable: true)           }'           constraints: table =>           {             table.PrimaryKey("PK_AspNetUserTokens"' x => new { x.UserId' x.LoginProvider' x.Name });             table.ForeignKey(                       name: "FK_AspNetUserTokens_AspNetUsers_UserId"'                       column: x => x.UserId'                       principalTable: "AspNetUsers"'                       principalColumn: "Id"'                       onDelete: ReferentialAction.Cascade);           });
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,BuildTargetModel,The following statement contains a magic number: modelBuilder           .HasAnnotation("ProductVersion"' "3.0.0")           .HasAnnotation("Relational:MaxIdentifierLength"' 128)           .HasAnnotation("SqlServer:ValueGenerationStrategy"' SqlServerValueGenerationStrategy.IdentityColumn);
Magic Number,IdentityServer.Data.Migrations,CreateIdentitySchema,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\ModernArchitectureShop-master\ModernArchitectureShop-master\src\Identity\Data\Migrations\00000000000000_CreateIdentitySchema.cs,BuildTargetModel,The following statement contains a magic number: modelBuilder.Entity("Microsoft.AspNetCore.Identity.IdentityRole"' b =>           {             b.Property<string>("Id")                       .HasColumnType("nvarchar(450)");              b.Property<string>("ConcurrencyStamp")                       .IsConcurrencyToken()                       .HasColumnType("nvarchar(max)");              b.Property<string>("Name")                       .HasColumnType("nvarchar(256)")                       .HasMaxLength(256);              b.Property<string>("NormalizedName")                       .HasColumnType("nvarchar(256)")                       .HasMaxLength(256);              b.HasKey("Id");              b.HasIndex("NormalizedName")                       .IsUnique()                       .HasName("RoleNameIndex")                       .HasFilter("[NormalizedName] IS NOT NULL");              b.ToTable("AspNetRoles");           });
