Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Ocelot.Configuration,Route,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Route.cs,Route,The method has 6 parameters. Parameters: downstreamRoute' downstreamRouteConfig' upstreamHttpMethod' upstreamTemplatePattern' upstreamHost' aggregator
Long Parameter List,Ocelot.Configuration,RouteOptions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\RouteOptions.cs,RouteOptions,The method has 5 parameters. Parameters: isAuthenticated' isAuthorized' isCached' isEnableRateLimiting' useServiceDiscovery
Long Parameter List,Ocelot.Configuration,ServiceProviderConfiguration,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\ServiceProviderConfiguration.cs,ServiceProviderConfiguration,The method has 8 parameters. Parameters: type' scheme' host' port' token' configurationKey' pollingInterval' namespace
Long Parameter List,Ocelot.Configuration.Creator,ConfigurationCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\ConfigurationCreator.cs,ConfigurationCreator,The method has 6 parameters. Parameters: serviceProviderConfigCreator' qosOptionsCreator' httpHandlerOptionsCreator' serviceProvider' loadBalancerOptionsCreator' versionCreator
Long Parameter List,Ocelot.Configuration.Creator,FileInternalConfigurationCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\FileInternalConfigurationCreator.cs,FileInternalConfigurationCreator,The method has 5 parameters. Parameters: configurationValidator' routesCreator' aggregatesCreator' dynamicsCreator' configCreator
Long Parameter List,Ocelot.Configuration.Creator,RoutesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RoutesCreator.cs,RoutesCreator,The method has 15 parameters. Parameters: claimsToThingCreator' authOptionsCreator' upstreamTemplatePatternCreator' requestIdKeyCreator' qosOptionsCreator' fileRouteOptionsCreator' rateLimitOptionsCreator' regionCreator' httpHandlerOptionsCreator' headerFAndRCreator' downstreamAddressesCreator' loadBalancerOptionsCreator' routeKeyCreator' securityOptionsCreator' versionCreator
Long Parameter List,Ocelot.Configuration.Repository,FileConfigurationPoller,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Repository\FileConfigurationPoller.cs,FileConfigurationPoller,The method has 5 parameters. Parameters: factory' repo' options' internalConfigRepo' internalConfigCreator
Long Parameter List,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteCreator.cs,Get,The method has 5 parameters. Parameters: upstreamUrlPath' upstreamQueryString' upstreamHttpMethod' configuration' upstreamHost
Long Parameter List,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteFinder.cs,Get,The method has 5 parameters. Parameters: upstreamUrlPath' upstreamQueryString' httpMethod' configuration' upstreamHost
Long Parameter List,Ocelot.DownstreamRouteFinder.Finder,IDownstreamRouteProvider,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\IDownstreamRouteProvider.cs,Get,The method has 5 parameters. Parameters: upstreamUrlPath' upstreamQueryString' upstreamHttpMethod' configuration' upstreamHost
Long Parameter List,Ocelot.DownstreamRouteFinder.UrlMatcher,UrlPathPlaceholderNameAndValueFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\UrlMatcher\UrlPathPlaceholderNameAndValueFinder.cs,GetPlaceholderValue,The method has 6 parameters. Parameters: urlPathTemplate' query' variableName' urlPath' counterForUrl' delimiter
Long Parameter List,Ocelot.Headers.Middleware,HttpHeadersTransformationMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Headers\Middleware\HttpHeadersTransformationMiddleware.cs,HttpHeadersTransformationMiddleware,The method has 6 parameters. Parameters: next' loggerFactory' preReplacer' postReplacer' addHeadersToResponse' addHeadersToRequest
Long Parameter List,Ocelot.RateLimit.Middleware,ClientRateLimitMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\RateLimit\Middleware\ClientRateLimitMiddleware.cs,LogBlockedRequest,The method has 5 parameters. Parameters: httpContext' identity' counter' rule' downstreamRoute
Long Parameter List,Ocelot.Values,Service,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Values\Service.cs,Service,The method has 5 parameters. Parameters: name' hostAndPort' id' version' tags
Long Identifier,Ocelot.Authorization,ClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ClaimsAuthorizer.cs,Authorize,The length of the parameter urlPathPlaceholderNameAndValues is 31.
Long Identifier,Ocelot.Authorization,IClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\IClaimsAuthorizer.cs,Authorize,The length of the parameter urlPathPlaceholderNameAndValues is 31.
Long Identifier,Ocelot.Configuration,DownstreamRoute,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\DownstreamRoute.cs,DownstreamRoute,The length of the parameter downstreamHeadersFindAndReplace is 31.
Long Identifier,Ocelot.Configuration,DownstreamRoute,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\DownstreamRoute.cs,DownstreamRoute,The length of the parameter enableEndpointEndpointRateLimiting is 34.
Long Identifier,Ocelot.Configuration,DownstreamRoute,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\DownstreamRoute.cs,DownstreamRoute,The length of the parameter dangerousAcceptAnyServerCertificateValidator is 44.
Long Identifier,Ocelot.Configuration,QoSOptions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\QoSOptions.cs,QoSOptions,The length of the parameter exceptionsAllowedBeforeBreaking is 31.
Long Identifier,Ocelot.Configuration.Builder,DownstreamRouteBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\DownstreamReRouteBuilder.cs,WithDownstreamHeaderFindAndReplace,The length of the parameter downstreamHeaderFindAndReplace is 30.
Long Identifier,Ocelot.Configuration.Builder,DownstreamRouteBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\DownstreamReRouteBuilder.cs,WithDangerousAcceptAnyServerCertificateValidator,The length of the parameter dangerousAcceptAnyServerCertificateValidator is 44.
Long Identifier,Ocelot.Configuration.Builder,DownstreamRouteBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\DownstreamReRouteBuilder.cs,,The length of the parameter _downstreamHeaderFindAndReplace is 31.
Long Identifier,Ocelot.Configuration.Builder,DownstreamRouteBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\DownstreamReRouteBuilder.cs,,The length of the parameter _dangerousAcceptAnyServerCertificateValidator is 45.
Long Identifier,Ocelot.Configuration.Builder,QoSOptionsBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\QoSOptionsBuilder.cs,WithExceptionsAllowedBeforeBreaking,The length of the parameter exceptionsAllowedBeforeBreaking is 31.
Long Identifier,Ocelot.Configuration.Builder,QoSOptionsBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\QoSOptionsBuilder.cs,,The length of the parameter _exceptionsAllowedBeforeBreaking is 32.
Long Identifier,Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\ServiceProviderConfigurationBuilder.cs,WithScheme,The length of the parameter serviceDiscoveryProviderScheme is 30.
Long Identifier,Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\ServiceProviderConfigurationBuilder.cs,,The length of the parameter _serviceDiscoveryProviderScheme is 31.
Long Identifier,Ocelot.Configuration.Creator,ClaimsToThingCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\ClaimsToThingCreator.cs,ClaimsToThingCreator,The length of the parameter claimToThingConfigurationParser is 31.
Long Identifier,Ocelot.Configuration.Creator,QoSOptionsCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\QoSOptionsCreator.cs,Map,The length of the parameter exceptionsAllowedBeforeBreaking is 31.
Long Identifier,Ocelot.Configuration.Creator,RoutesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RoutesCreator.cs,RoutesCreator,The length of the parameter upstreamTemplatePatternCreator is 30.
Long Identifier,Ocelot.Configuration.Creator,RoutesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\RoutesCreator.cs,,The length of the parameter _upstreamTemplatePatternCreator is 31.
Long Identifier,Ocelot.Configuration.Creator,UpstreamTemplatePatternCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\UpstreamTemplatePatternCreator.cs,Create,The length of the parameter postitionOfPlaceHolderClosingBracket is 36.
Long Identifier,Ocelot.Configuration.Creator,UpstreamTemplatePatternCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\UpstreamTemplatePatternCreator.cs,ForwardSlashAndOnePlaceHolder,The length of the parameter postitionOfPlaceHolderClosingBracket is 36.
Long Identifier,Ocelot.Configuration.Creator,UpstreamTemplatePatternCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\UpstreamTemplatePatternCreator.cs,,The length of the parameter RegExMatchOneOrMoreOfEverything is 31.
Long Identifier,Ocelot.Configuration.Creator,UpstreamTemplatePatternCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\UpstreamTemplatePatternCreator.cs,,The length of the parameter RegExMatchOneOrMoreOfEverythingUntilNextForwardSlash is 52.
Long Identifier,Ocelot.Configuration.Creator,UpstreamTemplatePatternCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\UpstreamTemplatePatternCreator.cs,,The length of the parameter RegExForwardSlashAndOnePlaceHolder is 34.
Long Identifier,Ocelot.Configuration.Repository,ConsulFileConfigurationPollerOption,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Repository\ConsulFileConfigurationPollerOption.cs,ConsulFileConfigurationPollerOption,The length of the parameter internalConfigurationRepository is 31.
Long Identifier,Ocelot.Configuration.Validator,FileConfigurationFluentValidator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Validator\FileConfigurationFluentValidator.cs,FileConfigurationFluentValidator,The length of the parameter fileGlobalConfigurationFluentValidator is 38.
Long Identifier,Ocelot.Configuration.Validator,FileConfigurationFluentValidator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Validator\FileConfigurationFluentValidator.cs,,The length of the parameter _serviceDiscoveryFinderDelegates is 32.
Long Identifier,Ocelot.DownstreamPathManipulation.Middleware,ClaimsToDownstreamPathMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamPathManipulation\Middleware\ClaimsToDownstreamPathMiddleware.cs,Invoke,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Identifier,Ocelot.DownstreamRouteFinder,DownstreamRouteHolder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\DownstreamRouteHolder.cs,DownstreamRouteHolder,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Identifier,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteFinder.cs,DownstreamRouteFinder,The length of the parameter urlPathPlaceholderNameAndValueFinder is 36.
Long Identifier,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteFinder.cs,GetPlaceholderNamesAndValues,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Identifier,Ocelot.DownstreamRouteFinder.Finder,DownstreamRouteFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\Finder\DownstreamRouteFinder.cs,,The length of the parameter _placeholderNameAndValueFinder is 30.
Long Identifier,Ocelot.DownstreamRouteFinder.UrlMatcher,UrlPathPlaceholderNameAndValueFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\UrlMatcher\UrlPathPlaceholderNameAndValueFinder.cs,GetPlaceholderName,The length of the parameter postitionOfPlaceHolderClosingBracket is 36.
Long Identifier,Ocelot.DownstreamRouteFinder.UrlMatcher,UrlPathPlaceholderNameAndValueFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\UrlMatcher\UrlPathPlaceholderNameAndValueFinder.cs,GetNextCounterPosition,The length of the parameter closingPlaceHolderPositionOnTemplate is 36.
Long Identifier,Ocelot.DownstreamUrlCreator.Middleware,DownstreamUrlCreatorMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamUrlCreator\Middleware\DownstreamUrlCreatorMiddleware.cs,Invoke,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Identifier,Ocelot.DownstreamUrlCreator.Middleware,DownstreamUrlCreatorMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamUrlCreator\Middleware\DownstreamUrlCreatorMiddleware.cs,RemoveQueryStringParametersThatHaveBeenUsedInTemplate,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Identifier,Ocelot.DownstreamUrlCreator.Middleware,DownstreamUrlCreatorMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamUrlCreator\Middleware\DownstreamUrlCreatorMiddleware.cs,CreateServiceFabricUri,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Identifier,Ocelot.DownstreamUrlCreator.UrlTemplateReplacer,DownstreamTemplatePathPlaceholderReplacer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamUrlCreator\UrlTemplateReplacer\DownstreamTemplatePathPlaceholderReplacer.cs,Replace,The length of the parameter urlPathPlaceholderNameAndValues is 31.
Long Identifier,Ocelot.DownstreamUrlCreator.UrlTemplateReplacer,IDownstreamPathPlaceholderReplacer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamUrlCreator\UrlTemplateReplacer\IDownstreamPathPlaceholderReplacer.cs,Replace,The length of the parameter urlPathPlaceholderNameAndValues is 31.
Long Identifier,Ocelot.LoadBalancer.LoadBalancers,LoadBalancerFactory,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\LoadBalancer\LoadBalancers\LoadBalancerFactory.cs,Get,The length of the parameter serviceProviderFactoryResponse is 30.
Long Identifier,Ocelot.Multiplexer,MultiplexingMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Multiplexer\MultiplexingMiddleware.cs,Invoke,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Statement,Ocelot.Authentication.Middleware,AuthenticationMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authentication\Middleware\AuthenticationMiddleware.cs,Invoke,The length of the statement  "                Logger.LogInformation($"{httpContext.Request.Path} is an authenticated route. {MiddlewareName} checking if client is authenticated");" is 133.
Long Statement,Ocelot.Authorization,ClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ClaimsAuthorizer.cs,Authorize,The length of the statement  "                                    $"dynamic claim value for {variableName} of {string.Join("' "' values.Data)} is not the same as required value: {actualValue}"));" is 129.
Long Statement,Ocelot.Authorization,ClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ClaimsAuthorizer.cs,Authorize,The length of the statement  "                                    $"config error: requires variable claim value: {variableName} placeholders does not contain that variable: {string.Join("' "' urlPathPlaceholderNameAndValues.Select(p => p.Name))}"));" is 183.
Long Statement,Ocelot.Authorization,ClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ClaimsAuthorizer.cs,Authorize,The length of the statement  "                                    $"config error: requires variable claim value: {required.Value} but placeholders are ambiguous: {string.Join("' "' urlPathPlaceholderNameAndValues.Where(p => p.Name.Equals(variableName)).Select(p => p.Value))}"));" is 213.
Long Statement,Ocelot.Authorization,ClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ClaimsAuthorizer.cs,Authorize,The length of the statement  "                                       $"claim value: {string.Join("' "' values.Data)} is not the same as required value: {required.Value} for type: {required.Key}"));" is 128.
Long Statement,Ocelot.Authorization,ScopesAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ScopesAuthorizer.cs,Authorize,The length of the statement  "                    new ScopeNotAuthorizedError($"no one user scope: '{string.Join("'"' userScopes)}' match with some allowed scope: '{string.Join("'"' routeAllowedScopes)}'")); " is 157.
Long Statement,Ocelot.Authorization.Middleware,AuthorizationMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\Middleware\AuthorizationMiddleware.cs,Invoke,The length of the statement  "                var authorized = _claimsAuthorizer.Authorize(httpContext.User' downstreamRoute.RouteClaimsRequirement' httpContext.Items.TemplatePlaceholderNameAndValues());" is 157.
Long Statement,Ocelot.Authorization.Middleware,AuthorizationMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\Middleware\AuthorizationMiddleware.cs,Invoke,The length of the statement  "                    Logger.LogInformation($"{httpContext.User.Identity.Name} has succesfully been authorized for {downstreamRoute.UpstreamPathTemplate.OriginalValue}.");" is 149.
Long Statement,Ocelot.Authorization.Middleware,AuthorizationMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\Middleware\AuthorizationMiddleware.cs,Invoke,The length of the statement  "                    Logger.LogWarning($"{httpContext.User.Identity.Name} is not authorized to access {downstreamRoute.UpstreamPathTemplate.OriginalValue}. Setting pipeline error");" is 160.
Long Statement,Ocelot.Authorization.Middleware,AuthorizationMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\Middleware\AuthorizationMiddleware.cs,Invoke,The length of the statement  "                    httpContext.Items.SetError(new UnauthorizedError($"{httpContext.User.Identity.Name} is not authorized to access {downstreamRoute.UpstreamPathTemplate.OriginalValue}"));" is 168.
Long Statement,Ocelot.Cache,CacheKeyGenerator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Cache\CacheKeyGenerator.cs,GenerateRequestCacheKey,The length of the statement  "            StringBuilder downStreamUrlKeyBuilder = new StringBuilder($"{downstreamRequest.Method}-{downstreamRequest.OriginalString}");" is 124.
Long Statement,Ocelot.Cache.Middleware,OutputCacheMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Cache\Middleware\OutputCacheMiddleware.cs,Invoke,The length of the statement  "            _outputCache.Add(downStreamRequestCacheKey' cached' TimeSpan.FromSeconds(downstreamRoute.CacheOptions.TtlSeconds)' downstreamRoute.CacheOptions.Region);" is 152.
Long Statement,Ocelot.Configuration,HttpHandlerOptionsBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\HttpHandlerOptionsBuilder.cs,Build,The length of the statement  "            return new HttpHandlerOptions(_allowAutoRedirect' _useCookieContainer' _useTracing' _useProxy' _maxConnectionPerServer);" is 120.
Long Statement,Ocelot.Configuration.Builder,DownstreamRouteBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\DownstreamReRouteBuilder.cs,WithUpstreamHttpMethod,The length of the statement  "            _upstreamHttpMethod = (input.Count == 0) ? new List<HttpMethod>() : input.Select(x => new HttpMethod(x.Trim())).ToList(); " is 121.
Long Statement,Ocelot.Configuration.Builder,RouteBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\RouteBuilder.cs,WithUpstreamHttpMethod,The length of the statement  "            _upstreamHttpMethod = (input.Count == 0) ? new List<HttpMethod>() : input.Select(x => new HttpMethod(x.Trim())).ToList(); " is 121.
Long Statement,Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\ServiceProviderConfigurationBuilder.cs,Build,The length of the statement  "            return new ServiceProviderConfiguration(_type' _serviceDiscoveryProviderScheme' _serviceDiscoveryProviderHost' _serviceDiscoveryProviderPort' _token' _configurationKey' _pollingInterval' _namespace);" is 199.
Long Statement,Ocelot.Configuration.Creator,AuthenticationOptionsCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\AuthenticationOptionsCreator.cs,Create,The length of the statement  "            return new AuthenticationOptions(route.AuthenticationOptions.AllowedScopes' route.AuthenticationOptions.AuthenticationProviderKey); " is 131.
Long Statement,Ocelot.Configuration.Creator,ClaimsToThingCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\ClaimsToThingCreator.cs,Create,The length of the statement  "                    _logger.LogDebug($"Unable to extract configuration for key: {input.Key} and value: {input.Value} your configuration file is incorrect"); " is 136.
