Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,ThenTheConfigurationIsStoredAs,The length of the statement  "            _result.GlobalConfiguration.ServiceDiscoveryProvider.Host.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Host); " is 128.
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,ThenTheConfigurationIsStoredAs,The length of the statement  "            _result.GlobalConfiguration.ServiceDiscoveryProvider.Port.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Port); " is 128.
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,GivenTheConfigurationIs,The length of the statement  "            _environmentSpecificPath = $"{AppContext.BaseDirectory}/ocelot{(string.IsNullOrEmpty(_environmentName) ? string.Empty : ".")}{_environmentName}.json"; " is 150.
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,ThenTheConfigurationJsonIsIndented,The length of the statement  "            var path = !string.IsNullOrEmpty(_environmentSpecificPath) ? _environmentSpecificPath : _environmentSpecificPath = $"{AppContext.BaseDirectory}/ocelot{(string.IsNullOrEmpty(_environmentName) ? string.Empty : ".")}{_environmentName}.json"; " is 238.
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,ThenTheFollowingIsReturned,The length of the statement  "            _result.GlobalConfiguration.ServiceDiscoveryProvider.Scheme.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Scheme); " is 132.
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,ThenTheFollowingIsReturned,The length of the statement  "            _result.GlobalConfiguration.ServiceDiscoveryProvider.Host.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Host); " is 128.
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,ThenTheFollowingIsReturned,The length of the statement  "            _result.GlobalConfiguration.ServiceDiscoveryProvider.Port.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Port); " is 128.
Long Statement,Ocelot.UnitTests.Configuration,FileConfigurationSetterTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\FileConfigurationSetterTests.cs,should_set_configuration,The length of the statement  "            var config = new InternalConfiguration(new List<Route>()' string.Empty' serviceProviderConfig' "asdf"' new LoadBalancerOptionsBuilder().Build()' ""' new QoSOptionsBuilder().Build()' new HttpHandlerOptionsBuilder().Build()' new Version("1.1")); " is 243.
Long Statement,Ocelot.UnitTests.Configuration,FileInternalConfigurationCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\FileInternalConfigurationCreatorTests.cs,ThenTheDependenciesAreCalledCorrectly,The length of the statement  "            _configCreator.Verify(x => x.Create(_fileConfiguration' It.Is<List<Route>>(y => y.Count == mergedRoutes.Count))' Times.Once); " is 125.
Long Statement,Ocelot.UnitTests.Configuration,HeaderFindAndReplaceCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\HeaderFindAndReplaceCreatorTests.cs,should_log_errors_and_not_add_headers,The length of the statement  "                .And(x => ThenTheLoggerIsCalledCorrectly("Unable to add DownstreamHeaderTransform Location: http://www.bbc.co.uk/' {BaseUrl}")) " is 127.
Long Statement,Ocelot.UnitTests.Configuration,HeaderFindAndReplaceCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\HeaderFindAndReplaceCreatorTests.cs,should_log_errors_and_not_add_headers,The length of the statement  "                .And(x => ThenTheLoggerIsCalledCorrectly("Unable to add UpstreamHeaderTransform Location: http://www.bbc.co.uk/' {BaseUrl}")) " is 125.
Long Statement,Ocelot.UnitTests.Configuration,RateLimitOptionsCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\RateLimitOptionsCreatorTests.cs,ThenTheFollowingIsReturned,The length of the statement  "            TimeSpan.FromSeconds(_result.RateLimitRule.PeriodTimespan).Ticks.ShouldBe(TimeSpan.FromSeconds(expected.RateLimitRule.PeriodTimespan).Ticks); " is 141.
Long Statement,Ocelot.UnitTests.Configuration,RouteKeyCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\RouteKeyCreatorTests.cs,should_return_re_route_key,The length of the statement  "                .Then(_ => ThenTheResultIs($"{route.UpstreamPathTemplate}|{string.Join("'"' route.UpstreamHttpMethod)}|{string.Join("'"' route.DownstreamHostAndPorts.Select(x => $"{x.Host}:{x.Port}"))}")) " is 188.
Long Statement,Ocelot.UnitTests.Configuration,RoutesCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\RoutesCreatorTests.cs,GivenTheDependenciesAreSetUpCorrectly,The length of the statement  "            _ht = new HeaderTransformations(new List<HeaderFindAndReplace>()' new List<HeaderFindAndReplace>()' new List<AddHeader>()' new List<AddHeader>()); " is 146.
Long Statement,Ocelot.UnitTests.Configuration,RoutesCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\RoutesCreatorTests.cs,GivenTheDependenciesAreSetUpCorrectly,The length of the statement  "            _qosoCreator.Setup(x => x.Create(It.IsAny<FileQoSOptions>()' It.IsAny<string>()' It.IsAny<List<string>>())).Returns(_qoso); " is 123.
Long Statement,Ocelot.UnitTests.Configuration,RoutesCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\RoutesCreatorTests.cs,ThenTheRouteIsSet,The length of the statement  "            _result[routeIndex].DownstreamRoute[0].DangerousAcceptAnyServerCertificateValidator.ShouldBe(expected.DangerousAcceptAnyServerCertificateValidator); " is 148.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_service_discovery_options_specified_but_no_service_discovery_handler,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using ServiceDiscoveryOptions but no ServiceDiscoveryFinderDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Consul and services.AddConsul() or Ocelot.Provider.Eureka and services.AddEureka()?")) " is 413.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_service_discovery_options_specified_dynamically_but_service_discovery_handler,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using ServiceDiscoveryOptions but no ServiceDiscoveryFinderDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Consul and services.AddConsul() or Ocelot.Provider.Eureka and services.AddEureka()?")) " is 413.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_service_discovery_options_specified_but_no_service_discovery_handler_with_matching_name,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using ServiceDiscoveryOptions but no ServiceDiscoveryFinderDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Consul and services.AddConsul() or Ocelot.Provider.Eureka and services.AddEureka()?")) " is 413.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_qos_options_specified_but_no_qos_handler,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Unable to start Ocelot because either a Route or GlobalConfiguration are using QoSOptions but no QosDelegatingHandlerDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Polly and services.AddPolly()?")) " is 309.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_qos_options_specified_globally_but_no_qos_handler,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Unable to start Ocelot because either a Route or GlobalConfiguration are using QoSOptions but no QosDelegatingHandlerDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Polly and services.AddPolly()?")) " is 309.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_re_routes_dont_exist_for_aggregate,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Routes for aggregateRoute / either do not exist or do not have correct ServiceName property")) " is 142.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_aggregate_has_re_routes_with_specific_request_id_keys,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "aggregateRoute / contains Route with specific RequestIdKey' this is not possible with Aggregates")) " is 147.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_scheme_in_downstream_or_upstream_template,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Downstream Path Template http://www.bbc.co.uk/api/products/{productId} doesnt start with forward slash")) " is 153.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_scheme_in_downstream_or_upstream_template,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(1' "Downstream Path Template http://www.bbc.co.uk/api/products/{productId} contains double forward slash' Ocelot does not support this at the moment. Please raise an issue in GitHib if you need this feature.")) " is 254.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_scheme_in_downstream_or_upstream_template,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(2' "Downstream Path Template http://www.bbc.co.uk/api/products/{productId} contains scheme")) " is 137.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_scheme_in_downstream_or_upstream_template,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(3' "Upstream Path Template http://asdf.com contains double forward slash' Ocelot does not support this at the moment. Please raise an issue in GitHib if you need this feature.")) " is 222.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_scheme_in_downstream_or_upstream_template,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(4' "Upstream Path Template http://asdf.com doesnt start with forward slash")) " is 121.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_without_slash_prefix_downstream_path_template,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Downstream Path Template api/products/ doesnt start with forward slash")) " is 121.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_upstream_url_contains_forward_slash_then_another_forward_slash,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Upstream Path Template //api/prod/ contains double forward slash' Ocelot does not support this at the moment. Please raise an issue in GitHib if you need this feature.")) " is 218.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_if_downstream_url_contains_forward_slash_then_another_forward_slash,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Downstream Path Template //api/products/ contains double forward slash' Ocelot does not support this at the moment. Please raise an issue in GitHib if you need this feature.")) " is 224.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_with_invalid_authentication_provider,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "Authentication Options AuthenticationProviderKey:Test'AllowedScopes:[] is unsupported authentication provider")) " is 160.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_with_invalid_rate_limit_configuration,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "RateLimitOptions.Period does not contain integer then s (second)' m (minute)' h (hour)' d (day) e.g. 1m for 1 minute period")) " is 174.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_invalid_when_not_using_service_discovery_and_host,The length of the statement  "                .And(x => x.ThenTheErrorMessageAtPositionIs(0' "When not using service discovery Host must be set on DownstreamHostAndPorts if you are not using Route.Host or Ocelot cannot find your service!")) " is 194.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_not_valid_when_no_host_and_port,The length of the statement  "                 .And(x => x.ThenTheErrorMessageAtPositionIs(0' "When not using service discovery DownstreamHostAndPorts must be set and not empty or Ocelot cannot find your service!")) " is 168.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,configuration_is_not_valid_when_host_and_port_is_empty,The length of the statement  "                 .And(x => x.ThenTheErrorMessageAtPositionIs(0' "When not using service discovery Host must be set on DownstreamHostAndPorts if you are not using Route.Host or Ocelot cannot find your service!")) " is 194.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,GivenAQoSHandler,The length of the statement  "            _configurationValidator = new FileConfigurationFluentValidator(provider' new RouteFluentValidator(_authProvider.Object' new HostAndPortValidator()' new FileQoSOptionsFluentValidator(provider))' new FileGlobalConfigurationFluentValidator(new FileQoSOptionsFluentValidator(provider))); " is 283.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileConfigurationFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,GivenAServiceDiscoveryHandler,The length of the statement  "            _configurationValidator = new FileConfigurationFluentValidator(provider' new RouteFluentValidator(_authProvider.Object' new HostAndPortValidator()' new FileQoSOptionsFluentValidator(provider))' new FileGlobalConfigurationFluentValidator(new FileQoSOptionsFluentValidator(provider))); " is 283.
Long Statement,Ocelot.UnitTests.Configuration.Validation,TestHandler,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileConfigurationFluentValidatorTests.cs,HandleAuthenticateAsync,The length of the statement  "                return Task.FromResult(AuthenticateResult.Success(new AuthenticationTicket(principal' new AuthenticationProperties()' Scheme.Name))); " is 133.
Long Statement,Ocelot.UnitTests.Configuration.Validation,FileQoSOptionsFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\FileQoSOptionsFluentValidatorTests.cs,ThenTheErrorIs,The length of the statement  "            _result.Errors[0].ErrorMessage.ShouldBe("Unable to start Ocelot because either a Route or GlobalConfiguration are using QoSOptions but no QosDelegatingHandlerDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Polly and services.AddPolly()?"); " is 302.
Long Statement,Ocelot.UnitTests.Configuration.Validation,HostAndPortValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\HostAndPortValidatorTests.cs,ThenTheErorrIs,The length of the statement  "            _result.Errors[0].ErrorMessage.ShouldBe("When not using service discovery Host must be set on DownstreamHostAndPorts if you are not using Route.Host or Ocelot cannot find your service!"); " is 187.
Long Statement,Ocelot.UnitTests.Configuration.Validation,RouteFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\RouteFluentValidatorTests.cs,downstream_path_template_should_not_contain_double_forward_slash,The length of the statement  "                .And(_ => ThenTheErrorsContains("Downstream Path Template //test contains double forward slash' Ocelot does not support this at the moment. Please raise an issue in GitHib if you need this feature.")) " is 200.
Long Statement,Ocelot.UnitTests.Configuration.Validation,RouteFluentValidatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\Validation\RouteFluentValidatorTests.cs,downstream_path_template_should_not_contain_scheme,The length of the statement  "                .And(_ => ThenTheErrorsContains($"Downstream Path Template {downstreamPathTemplate} contains double forward slash' Ocelot does not support this at the moment. Please raise an issue in GitHib if you need this feature.")) " is 219.
